clientId,timestamp,clientInitiatedDisconnect,disconnectReason,eventType,ipAddress,principalIdentifier,sessionIdentifier,versionNumber
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403737622,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,cdd1ebf2-127f-4825-aaeb-72fb5709e774,18
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403751892,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,0e0e1d38-a766-4d01-9af7-c287ee69cc99,20
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403858621,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,0e0e1d38-a766-4d01-9af7-c287ee69cc99,20
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403871508,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,24359cdd-f810-4ce0-8378-7d9142a4899a,22
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403978638,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,24359cdd-f810-4ce0-8378-7d9142a4899a,22
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709403991567,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,e033483d-acaa-4e1d-adb3-67b5f68fe85e,24
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404098626,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,e033483d-acaa-4e1d-adb3-67b5f68fe85e,24
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404111689,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,f2acb49b-2a92-4bcb-b0a2-71704fa61521,26
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404218637,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,f2acb49b-2a92-4bcb-b0a2-71704fa61521,26
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404231686,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,e87d60a3-fdb4-4397-9ae2-15c75bcc3fd7,28
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404338636,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,e87d60a3-fdb4-4397-9ae2-15c75bcc3fd7,28
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404351551,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,c5b59b4e-4ff8-4e38-9992-18c3bd6c9021,30
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709404458636,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,c5b59b4e-4ff8-4e38-9992-18c3bd6c9021,30
